Pic Principle Coordinate: (Cx,Cy)
990.3 547.3
Equivalent Focal Length: (Fx,Fy)
1776.9  1365.0
Translation Vector: (Tx,Ty,Tz)
-9.8894 5.4930 116.3024
Rotation Matrix: (r0 ~ r8)
 0.5654  0.5689  0.5973
-0.6183  0.7716 -0.1496
-0.5460 -0.2847  0.7879
World Coordinate: (X,Y,Z)
13.3259344763646 -12.1424804163731 4.87785809184297
-25.6727462828055 4.78810108748253 -0.450769442944028
16.3989850355923 1.16038636695637 -0.102739921550221
5.57068219140087 -16.3359644257835 16.5091532682130
-22.3738546595641  35.2568583600306 -2.88627765882395
-21.0340345400814 -2.66062734928238 4.37376560976274
-12.0669893452432 -3.65572710566928 -17.2060516045373
-44.1642624299235 -11.3239247875456 -1.53363669128236
4.69287894956143 -2.47318528813557 16.6390994642160
-18.2117556542311 22.9894546242712 -3.38376603406878
0.488361962474602 23.1631784325593 -11.1345275588979
-9.23402822200342 13.3291563813108 -21.3356388763724
-2.94080231710999 2.96716580196541 10.4493662377441
3.23505129605617 -16.0330568725205 21.5757043922265
20.5544781014284 -3.62170562411037 -12.9731987598668
9.41560931293090 -12.9547923298307 -16.7025111223015
-11.5449887063052 16.7603420822170 8.28790531668336
1.28896699763138 -15.9237259997998 11.2211517555598
-11.4727385485181 7.32290864789911 21.2896522596382
23.8154863496109 12.5263224760902 -17.4876589722307
